mtu,"U-238(n,gamma)","U-238(n,gamma)_err","U-238(n,fis)","U-238(n,fis)_err"
0.0,0.0,0.0,0.0,0.0
0.1,0.000347075300801611,1.310546473804754e-07,2.642694997769062e-05,1.7417950590654257e-09
0.2,0.0006918991439488573,2.5446765987813563e-07,5.283242013070076e-05,3.5204574115812946e-09
0.5,0.0017060508251023827,6.484816087961451e-07,0.00013205637136799703,8.72917993254286e-09
1.0,0.0033483726394431925,1.179074220249676e-06,0.00026420948611249255,1.7761253387855064e-08
2.5,0.00793712479324691,2.6998609395517086e-06,0.0006602729019458332,4.205755092177117e-08
5.0,0.014778816481794643,4.5185657410419454e-06,0.0013200846382687577,8.998511813180412e-08
10.0,0.026591792334883423,7.1962755362153524e-06,0.00263934013035569,1.7577006278229295e-07
15.0,0.03694377174275247,9.169159499049366e-06,0.003956273793610259,2.5523140791873197e-07
20.0,0.0463783505223308,1.0704008245512193e-05,0.005271823138801417,3.3405955922497555e-07
25.0,0.05519812068057018,1.1065737547619027e-05,0.006586040828753117,4.3786287842420685e-07
30.0,0.06351411267851394,1.2630833771643262e-05,0.007898272795653163,5.524510368310014e-07
35.0,0.0715257985913131,1.3300314012490031e-05,0.009206860789995606,6.047853938988011e-07
40.0,0.07924506495332904,1.38892549892262e-05,0.010518796666578767,6.944401592699584e-07
45.0,0.08668141222668109,1.5152044754953507e-05,0.011825383626576693,7.563262947310626e-07
50.0,0.09399953435818977,1.5841835426434564e-05,0.013133331604033129,8.55201812055901e-07
