fertile_kg/m3,isotope,factor
0.0,Th232,0.9821237259871344
0.1,Th232,0.9821353942176216
0.5,Th232,0.9819026019238416
1.5,Th232,0.9819344645817006
3.0,Th232,0.9822184424869314
7.5,Th232,0.9822161110165866
15.0,Th232,0.9829952696845504
30.0,Th232,0.9842456350941484
45.0,Th232,0.9853222157933484
50.0,Th232,1.0358490111774967
60.0,Th232,0.987322681726453
75.0,Th232,0.9882444367009594
90.0,Th232,0.9891477951671667
105.0,Th232,0.9897667877469937
120.0,Th232,0.9903735339869035
135.0,Th232,0.9912541518144272
150.0,Th232,0.9924040133540067
250.0,Th232,0.9986073173862955
500.0,Th232,1.0138397628947582
750.0,Th232,1.0285309351845435
999.99,Th232,1.048136488929358
0.0,U238,0.98218173474442
0.1,U238,0.9821527077080746
0.5,U238,0.9820407429639282
1.5,U238,0.9823316946101968
3.0,U238,0.9828751997516202
7.5,U238,0.9829828196341379
15.0,U238,0.9841417638154596
30.0,U238,0.986209827273366
45.0,U238,0.9868160832555578
50.0,U238,1.0219553445832497
60.0,U238,0.9879664835920123
75.0,U238,0.9883344681583053
90.0,U238,0.9888996732675632
105.0,U238,0.98967676609621
120.0,U238,0.991122705706683
135.0,U238,0.9910878890684636
150.0,U238,0.9920947628439706
250.0,U238,0.998773735588064
500.0,U238,1.008321263444792
750.0,U238,1.0206397944869674
999.99,U238,1.039162715861528
