MT_fertile,"Li-6(n,t)","Li-7(n,Xt)","Th-232(n,gamma)","Th-232(n,fis)",kg/m3_fertile
0.0,1.0370543989135592,0.10591166691635782,0.0,0.0,0.0
0.0096,1.0360887348655345,0.10574690609496759,2.626809150565863e-05,4.2199146174785745e-07,0.028070175438596492
0.1,1.0350533819663619,0.10577110072827789,0.00027297269300881615,4.397397466815625e-06,0.29239766081871343
0.2,1.0354224262941436,0.10578787248618707,0.0005449779213957833,8.797016464159528e-06,0.5847953216374269
0.5,1.0341530498815714,0.10578137036303056,0.0013566556025156361,2.1988330748705286e-05,1.4619883040935673
1.0,1.0335485615092193,0.10577857052758408,0.0026960886384971897,4.399465031577716e-05,2.9239766081871346
2.5,1.0301154953913703,0.10562831144802776,0.006590595984304832,0.00010992943057821724,7.309941520467836
5.0,1.024615489821068,0.10542808170986667,0.012782283696023338,0.00021980063645743653,14.619883040935672
10.0,1.0140004079179545,0.10502554155194775,0.024258825867239854,0.0004390569232003419,29.239766081871345
15.0,1.004499095621102,0.10467074037649185,0.03477412994946568,0.0006581549389283317,43.85964912280702
20.0,0.9960070376644182,0.10410360958835628,0.044675749720783545,0.0008757579367904554,58.47953216374269
25.0,0.9881759313757656,0.10385816626147441,0.05391180211459431,0.0010949850837335352,73.09941520467837
30.0,0.9794903016441324,0.10319639784852992,0.06276285093939091,0.0013098518480108032,87.71929824561404
35.0,0.9735823875046397,0.10290234483109409,0.0714022439671513,0.0015282745179950917,102.3391812865497
40.0,0.9663899117493554,0.10250253934844866,0.079472341520492,0.0017455198550782238,116.95906432748538
45.0,0.9584960846597769,0.1020127686050034,0.0872874191925793,0.001960200445295165,131.57894736842104
50.0,0.9532013875370556,0.10158928484048965,0.09505642726617114,0.0021750316964818006,146.19883040935673
