MTU,"Li-6(n,t)","Li-7(n,Xt)","Th-232(n,gamma)","Th-232(n,fis)"
0.0,1.0370388120061902,0.10618565106386288,0.0,0.0
0.0096,1.0362939017370563,0.10602585140520837,2.626999438601408e-05,4.2334079004150815e-07
0.1,1.0353296135278156,0.10605540105887226,0.00027289624392287166,4.411441019846351e-06
0.2,1.0355149069471392,0.10607007946839028,0.0005454682594589618,8.825384869879464e-06
0.5,1.034380563634966,0.10605416336337434,0.0013571153272798281,2.2057122565386174e-05
1.0,1.0336857982278607,0.10605907864379666,0.002694390861496076,4.413628691367264e-05
2.5,1.0300309271689079,0.10591152999490623,0.006593144097382841,0.00011028521443328674
5.0,1.0247075102860226,0.10570225682701329,0.012787487614857639,0.0002204968917300884
10.0,1.0138494974634635,0.10530643908676841,0.02424985053193264,0.000440467611637983
15.0,1.0046964285621587,0.10494577240777184,0.03480211403841336,0.0006602490088022355
20.0,0.9960744698683176,0.10437907949120119,0.04467091719792737,0.0008785489379464612
25.0,0.988111288175329,0.10413189304578957,0.053907692762725744,0.0010984865672113843
30.0,0.979389473466577,0.10346637917713912,0.06275103570801739,0.0013140022529043263
35.0,0.9736255282035139,0.10317632642302033,0.07138724729855248,0.0015331807305181255
40.0,0.9664287076815045,0.10277253529731566,0.07943358008891342,0.0017510435059064167
45.0,0.9586957384281646,0.10228679254904406,0.08728851487189401,0.001966500218686737
50.0,0.9532424418936504,0.10185565320010836,0.09507189476289285,0.002181900444362121
