MT_fertile,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)",kg/m3_fertile
0.076,1.3691937040372804,0.013332705662341618,0.00015466157182664786,1.643886480029368e-05,0.2222222222222222
0.1,1.3691021463823438,0.01332980750690542,0.00019084670113260978,2.0263835424249716e-05,0.29239766081871343
0.5,1.368516283074995,0.013303806472310687,0.000786678471845394,8.399128050726645e-05,1.4619883040935673
1.0,1.3684093071529424,0.013280310947366536,0.0015259373582945598,0.0001636963844619154,2.9239766081871346
5.0,1.3640313744891086,0.013047955487682806,0.007202766261192785,0.000801038588712949,14.619883040935672
10.0,1.3596305136677314,0.01276662113501475,0.013938503586314434,0.0015981950135374279,29.239766081871345
20.0,1.3508899296928985,0.012200766789503418,0.02699173383235791,0.0031934165538275265,58.47953216374269
30.0,1.3416506250124227,0.01163283643857155,0.04005877335971567,0.004789031178008848,87.71929824561404
40.0,1.332622048995584,0.011069956847498287,0.053546672947387595,0.006387403522070871,116.95906432748538
50.0,1.3220442242890276,0.01050619258717093,0.06766649719956712,0.007985977366457125,146.19883040935673
