MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.076,1.3700088626490559,0.013370601160422966,0.00017161943783687965,1.8338139202734957e-05
0.1,1.3658220809316128,0.013329531216944787,0.0002124236357483423,2.2701915654210482e-05
0.5,1.3664792089429372,0.01331546185324044,0.0008984935243051622,9.628007779008345e-05
1.0,1.3692533407254015,0.013283548008356629,0.0017413687412348696,0.00018840199489648913
5.0,1.3670969982115928,0.01302012446741332,0.008251210708766816,0.0009280620012086632
10.0,1.3660681908186678,0.01263400738043377,0.0161025347787929,0.0018529435009961613
20.0,1.3659184178430612,0.011928884043095368,0.031579195423592776,0.003731095805490078
30.0,1.3635720732080787,0.011174271732508527,0.04797957024855513,0.0056235680952014385
40.0,1.3657735553035981,0.010477935103889316,0.06576416697099038,0.007569778520354704
50.0,1.3635260278138668,0.009742840633605046,0.08532384287460809,0.009530774027939679
