cells,volume_m3,stdev_m3
10,855.0036977842792,0.18828370698445557
11,1.36854829448964,0.008272007291932396
12,13.552949215163995,0.0259996757882558
21,2.718691905001346,0.01165741336875798
22,2.7289945270107334,0.01167946862789006
23,23.6738749829971,0.03432769365133344
24,24.94769917027422,0.03523462247423735
25,15.50849690054769,0.02780678164640002
26,43.03195159862506,0.04619120923587939
31,159.61297137860248,0.08790857266827991
32,161.0094267754282,0.08827955790554194
33,106.68275067809476,0.07226121588007163
98,1856.0610161027873,0.24161343126507742
99,662.283550654881,0.1695181765951791
