x,y,z
-4.302659134450927958e-01,4.782604703327520967e-01,8.540569271274378025e+02
4.043433584548826731e-01,-3.584202677388941827e-01,8.394582980144797375e+02
-7.613069164440711134e-02,6.845574479757637887e-01,8.704295880939118888e+02
7.395609783748746668e-02,1.883390085164082794e-02,8.813815406792762133e+02
3.956140532281376965e-01,4.740381756551984571e-01,8.446282850974095027e+02
-5.170260847716714458e-01,5.609622035082802993e-01,8.593016449050660412e+02
-2.729656476704364065e-01,6.754469580179413013e-01,9.017256649670422348e+02
-2.716708871367026212e-01,6.745743077439066981e-01,9.015023183609876014e+02
-2.213265628114063910e-01,-1.112629617127488535e-01,8.810403587031739789e+02
-1.774355942684411325e-01,6.826532735905194160e-01,8.910210508618730501e+02
-2.067729138663433330e-01,-5.851291624843660832e-01,8.820547646917152633e+02
2.884756104407611987e-01,-6.109270259838528450e-01,9.050704438096823878e+02
-5.976168317264687335e-01,-6.320293322961094695e-01,9.046745659513496776e+02
3.552648755966406613e-01,-1.811614336546120141e-01,9.035788297396559301e+02
-6.337786955770627895e-01,1.483122310067689353e-01,9.106772620777892371e+02
5.497121763048918863e-01,2.111269675057668715e-01,8.553348908407652971e+02
1.756438301974507787e-01,-1.141218745282542857e-01,8.727106582147032441e+02
4.199795501121893482e-01,-2.034930286195681948e-01,8.917452892328558391e+02
6.680681799579646363e-02,-5.917231513253347064e-01,8.817055401948725830e+02
3.154029893215587466e-01,-4.538745380117115147e-04,9.066507842465306339e+02
6.069765984019711569e-01,6.034824028618300806e-01,8.681909847334484311e+02
2.016811121039584487e-01,3.173794631397608423e-02,8.929404316468580873e+02
5.882341058918808541e-01,4.435897927686224262e-01,8.499783185277312896e+02
